id,Contract_Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open_Interest,Implied_Volatility,Ticker,C/P
0,AAPL190920P00095000,2019-08-16 2:59PM EDT,95,0.01,0,0.01,0,-,50,"1,886",2.4375,AAPL,P
1,AAPL190920P00100000,2019-08-16 3:10PM EDT,100,0.01,0,0.03,0,-,300,"1,309",2.5313,AAPL,P
2,AAPL190920P00105000,2019-08-16 2:54PM EDT,105,0.01,0,0.06,0,-,50,620,2.5313,AAPL,P
3,AAPL190920P00110000,2019-09-03 9:30AM EDT,110,0.01,0,0.01,0,-,3,"1,251",2.0625,AAPL,P
4,AAPL190920P00115000,2019-08-28 12:03PM EDT,115,0.01,0,0.01,0,-,61,"4,871",1.9375,AAPL,P
5,AAPL190920P00120000,2019-09-06 3:36PM EDT,120,0.01,0,0.01,0,-,4,"9,642",1.8125,AAPL,P
6,AAPL190920P00125000,2019-08-29 12:58PM EDT,125,0.02,0,0.16,0,-,16,"2,922",2.1875,AAPL,P
7,AAPL190920P00130000,2019-09-17 10:42AM EDT,130,0.03,0,0.02,0.02,200.00%,517,"1,949",1.6563,AAPL,P
8,AAPL190920P00135000,2019-09-04 9:32AM EDT,135,0.01,0,0.02,0,-,20,"2,819",1.5625,AAPL,P
9,AAPL190920P00140000,2019-09-17 11:21AM EDT,140,0.01,0,0.01,0,-,10,"8,269",1.375,AAPL,P
10,AAPL190920P00145000,2019-09-16 9:43AM EDT,145,0.01,0,0.1,0,-,4,"2,847",1.5703,AAPL,P
11,AAPL190920P00150000,2019-09-13 3:49PM EDT,150,0.01,0,0.01,0,-,78,"10,402",1.1875,AAPL,P
12,AAPL190920P00155000,2019-09-17 1:18PM EDT,155,0.01,0,0.01,0,-,1,"3,795",1.0625,AAPL,P
13,AAPL190920P00160000,2019-09-17 10:13AM EDT,160,0.01,0,0.01,0,-,1,"14,360",0.9844,AAPL,P
14,AAPL190920P00165000,2019-09-17 2:22PM EDT,165,0.01,0,0.01,0,-,10,"7,202",0.9063,AAPL,P
15,AAPL190920P00170000,2019-09-17 11:08AM EDT,170,0.01,0,0.01,0,-,12,"9,757",0.8125,AAPL,P
