,Strike,Call_Contract_Name,Call Last Trade Date,Call Last Price,Call Bid,Call Ask,Call Change,Call % Change,Call Volume,Call Open Interest,Call_Implied_Volatility,Ticker,Put_Contract_Name,Put Last Trade Date,Put Last Price,Put Bid,Put Ask,Put Change,Put % Change,Put Volume,Put Open Interest,Put_Implied_Volatility
0,95,AAPL190920C00095000,2019-09-16 3:33PM EDT,124.74,125.1,126.2,0,-,1,2,4.0137,AAPL,AAPL190920P00095000,2019-08-16 2:59PM EDT,0.01,0,0.01,0,-,50,"1,886",2.4375
1,100,AAPL190920C00100000,2019-09-04 2:31PM EDT,124.25,120.35,121.2,0,-,22,41,2.9531,AAPL,AAPL190920P00100000,2019-08-16 3:10PM EDT,0.01,0,0.03,0,-,300,"1,309",2.5313
2,105,AAPL190920C00105000,2019-09-12 3:08PM EDT,119.9,115.3,116.2,0,-,2,22,2.6641,AAPL,AAPL190920P00105000,2019-08-16 2:54PM EDT,0.01,0,0.06,0,-,50,620,2.5313
3,110,AAPL190920C00110000,2019-09-11 3:29PM EDT,112.54,110.3,111.45,0,-,2,2,2.8984,AAPL,AAPL190920P00110000,2019-09-03 9:30AM EDT,0.01,0,0.01,0,-,3,"1,251",2.0625
4,115,AAPL190920C00115000,2019-09-05 12:31PM EDT,97.4,105.3,106.45,0,-,2,21,2.7305,AAPL,AAPL190920P00115000,2019-08-28 12:03PM EDT,0.01,0,0.01,0,-,61,"4,871",1.9375
5,120,AAPL190920C00120000,2019-09-13 12:18PM EDT,98.18,100.3,101.45,0,-,42,12,2.5664,AAPL,AAPL190920P00120000,2019-09-06 3:36PM EDT,0.01,0,0.01,0,-,4,"9,642",1.8125
6,125,AAPL190920C00125000,2019-09-16 10:16AM EDT,94.09,95.3,96.45,0,-,2,3,2.4102,AAPL,AAPL190920P00125000,2019-08-29 12:58PM EDT,0.02,0,0.16,0,-,16,"2,922",2.1875
7,130,AAPL190920C00130000,2019-09-16 11:50AM EDT,89.55,90.3,91.35,0,-,10,144,2.1641,AAPL,AAPL190920P00130000,2019-09-17 10:42AM EDT,0.03,0,0.02,0.02,200.00%,517,"1,949",1.6563
8,135,AAPL190920C00135000,2019-09-05 3:18PM EDT,78.26,85.3,86.45,0,-,3,3,2.1133,AAPL,AAPL190920P00135000,2019-09-04 9:32AM EDT,0.01,0,0.02,0,-,20,"2,819",1.5625
9,140,AAPL190920C00140000,2019-09-16 2:13PM EDT,79.74,80.3,81.45,0,-,1,256,1.9727,AAPL,AAPL190920P00140000,2019-09-17 11:21AM EDT,0.01,0,0.01,0,-,10,"8,269",1.375
10,145,AAPL190920C00145000,2019-09-09 11:06AM EDT,70.48,75.3,76.45,0,-,3,11,1.8359,AAPL,AAPL190920P00145000,2019-09-16 9:43AM EDT,0.01,0,0.1,0,-,4,"2,847",1.5703
11,150,AAPL190920C00150000,2019-09-17 2:20PM EDT,70.06,70.3,71.35,0.81,1.17%,1,234,1.6289,AAPL,AAPL190920P00150000,2019-09-13 3:49PM EDT,0.01,0,0.01,0,-,78,"10,402",1.1875
12,155,AAPL190920C00155000,2019-09-11 10:20AM EDT,65.8,65.3,66.45,0,-,1,98,1.5762,AAPL,AAPL190920P00155000,2019-09-17 1:18PM EDT,0.01,0,0.01,0,-,1,"3,795",1.0625
13,160,AAPL190920C00160000,2019-09-17 3:31PM EDT,60.28,60.35,61.2,2.31,3.98%,17,448,1.293,AAPL,AAPL190920P00160000,2019-09-17 10:13AM EDT,0.01,0,0.01,0,-,1,"14,360",0.9844
14,165,AAPL190920C00165000,2019-09-17 3:54PM EDT,55.4,55.35,55.95,1.5,2.78%,13,425,1.4023,AAPL,AAPL190920P00165000,2019-09-17 2:22PM EDT,0.01,0,0.01,0,-,10,"7,202",0.9063
15,170,AAPL190920C00170000,2019-09-17 1:59PM EDT,50.2,50.4,51.25,0.27,0.54%,3,899,1.1504,AAPL,AAPL190920P00170000,2019-09-17 11:08AM EDT,0.01,0,0.01,0,-,12,"9,757",0.8125
16,175,AAPL190920C00175000,2019-09-17 11:58AM EDT,45.35,45.1,46.2,0.62,1.39%,10,543,1.3086,AAPL,AAPL190920P00175000,2019-09-17 3:45PM EDT,0.01,0,0.01,0,-,20,"11,449",0.7188
17,180,AAPL190920C00180000,2019-09-17 3:19PM EDT,40.02,40.6,41.2,0.14,0.35%,46,"1,266",0.9971,AAPL,AAPL190920P00180000,2019-09-17 3:29PM EDT,0.01,0,0.01,-0.02,-66.67%,48,"19,167",0.6563
18,182.5,AAPL190920C00182500,2019-09-05 10:23AM EDT,31.5,37.65,39,0,-,1,229,0.873,AAPL,AAPL190920P00182500,2019-09-17 3:45PM EDT,0.01,0,0.01,0,-,392,"1,445",0.6094
19,185,AAPL190920C00185000,2019-09-17 3:02PM EDT,35.12,35.4,36.2,0.22,0.63%,139,"4,617",0.791,AAPL,AAPL190920P00185000,2019-09-17 3:48PM EDT,0.01,0.01,0.02,-0.01,-50.00%,174,"15,065",0.625
20,187.5,AAPL190920C00187500,2019-09-13 12:44PM EDT,29.75,32.85,33.75,0,-,6,76,0.7383,AAPL,AAPL190920P00187500,2019-09-17 3:46PM EDT,0.01,0,0.02,-0.01,-50.00%,16,"1,522",0.5625
21,190,AAPL190920C00190000,2019-09-17 3:56PM EDT,30.6,30.4,31,0.65,2.17%,97,"2,925",0.8262,AAPL,AAPL190920P00190000,2019-09-17 3:48PM EDT,0.02,0.01,0.02,-0.01,-33.33%,576,"18,575",0.5391
22,192.5,AAPL190920C00192500,2019-09-17 11:59AM EDT,27.76,27.85,28.95,1.81,6.97%,1,245,0.7109,AAPL,AAPL190920P00192500,2019-09-17 3:21PM EDT,0.02,0.02,0.03,-0.02,-50.00%,"2,639","5,599",0.5273
23,195,AAPL190920C00195000,2019-09-17 3:51PM EDT,25.51,25.4,26.25,0.62,2.49%,116,"8,023",0.6035,AAPL,AAPL190920P00195000,2019-09-17 3:57PM EDT,0.03,0.02,0.03,-0.02,-40.00%,534,"27,288",0.4961
24,197.5,AAPL190920C00197500,2019-09-16 11:33AM EDT,22.55,22.9,23.5,0,-,14,750,0.6475,AAPL,AAPL190920P00197500,2019-09-17 3:49PM EDT,0.04,0.01,0.04,-0.03,-42.86%,"5,131","8,350",0.4648
25,200,AAPL190920C00200000,2019-09-17 3:47PM EDT,20.57,20.45,21,0.67,3.37%,339,"23,570",0.5879,AAPL,AAPL190920P00200000,2019-09-17 3:59PM EDT,0.06,0.05,0.07,-0.03,-33.33%,930,"35,435",0.4551
26,202.5,AAPL190920C00202500,2019-09-17 10:34AM EDT,17.52,17.95,18.55,-0.09,-0.51%,105,"1,251",0.5459,AAPL,AAPL190920P00202500,2019-09-17 3:41PM EDT,0.08,0.05,0.08,-0.04,-33.33%,514,"8,163",0.4141
27,205,AAPL190920C00205000,2019-09-17 3:59PM EDT,15.95,15.45,16,0.82,5.42%,450,"15,270",0.4678,AAPL,AAPL190920P00205000,2019-09-17 3:59PM EDT,0.11,0.08,0.09,-0.05,-31.25%,"6,487","16,956",0.3701
28,207.5,AAPL190920C00207500,2019-09-17 3:57PM EDT,13.2,13.25,13.6,0.55,4.35%,35,"2,969",0.4365,AAPL,AAPL190920P00207500,2019-09-17 3:59PM EDT,0.13,0.12,0.13,-0.1,-43.48%,445,"4,183",0.3408
29,210,AAPL190920C00210000,2019-09-17 3:59PM EDT,10.99,10.55,11.1,0.59,5.67%,"2,720","31,489",0.3716,AAPL,AAPL190920P00210000,2019-09-17 3:59PM EDT,0.18,0.16,0.19,-0.14,-43.75%,"5,315","26,711",0.3096
