,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,AAPL190920C00095000,2019-09-16 3:33PM EDT,95.00,124.74,125.10,126.20,0.00,-,1,2,401.37%,AAPL,C
1,AAPL190920C00100000,2019-09-04 2:31PM EDT,100.00,124.25,120.35,121.20,0.00,-,22,41,295.31%,AAPL,C
2,AAPL190920C00105000,2019-09-12 3:08PM EDT,105.00,119.90,115.30,116.20,0.00,-,2,22,266.41%,AAPL,C
3,AAPL190920C00110000,2019-09-11 3:29PM EDT,110.00,112.54,110.30,111.45,0.00,-,2,2,289.84%,AAPL,C
4,AAPL190920C00115000,2019-09-05 12:31PM EDT,115.00,97.40,105.30,106.45,0.00,-,2,21,273.05%,AAPL,C
5,AAPL190920C00120000,2019-09-13 12:18PM EDT,120.00,98.18,100.30,101.45,0.00,-,42,12,256.64%,AAPL,C
6,AAPL190920C00125000,2019-09-16 10:16AM EDT,125.00,94.09,95.30,96.45,0.00,-,2,3,241.02%,AAPL,C
7,AAPL190920C00130000,2019-09-16 11:50AM EDT,130.00,89.55,90.30,91.35,0.00,-,10,144,216.41%,AAPL,C
8,AAPL190920C00135000,2019-09-05 3:18PM EDT,135.00,78.26,85.30,86.45,0.00,-,3,3,211.33%,AAPL,C
9,AAPL190920C00140000,2019-09-16 2:13PM EDT,140.00,79.74,80.30,81.45,0.00,-,1,256,197.27%,AAPL,C
10,AAPL190920C00145000,2019-09-09 11:06AM EDT,145.00,70.48,75.30,76.45,0.00,-,3,11,183.59%,AAPL,C
11,AAPL190920C00150000,2019-09-17 2:20PM EDT,150.00,70.06,70.30,71.35,+0.81,+1.17%,1,234,162.89%,AAPL,C
12,AAPL190920C00155000,2019-09-11 10:20AM EDT,155.00,65.80,65.30,66.45,0.00,-,1,98,157.62%,AAPL,C
13,AAPL190920C00160000,2019-09-17 3:31PM EDT,160.00,60.28,60.35,61.20,+2.31,+3.98%,17,448,129.30%,AAPL,C
