,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,AAPL190920P00095000,2019-08-16 2:59PM EDT,95.00,0.01,0.00,0.01,0.00,-,50,"1,886",243.75%,AAPL,P
1,AAPL190920P00100000,2019-08-16 3:10PM EDT,100.00,0.01,0.00,0.03,0.00,-,300,"1,309",253.13%,AAPL,P
2,AAPL190920P00105000,2019-08-16 2:54PM EDT,105.00,0.01,0.00,0.06,0.00,-,50,620,253.13%,AAPL,P
3,AAPL190920P00110000,2019-09-03 9:30AM EDT,110.00,0.01,0.00,0.01,0.00,-,3,"1,251",206.25%,AAPL,P
4,AAPL190920P00115000,2019-08-28 12:03PM EDT,115.00,0.01,0.00,0.01,0.00,-,61,"4,871",193.75%,AAPL,P
5,AAPL190920P00120000,2019-09-06 3:36PM EDT,120.00,0.01,0.00,0.01,0.00,-,4,"9,642",181.25%,AAPL,P
6,AAPL190920P00125000,2019-08-29 12:58PM EDT,125.00,0.02,0.00,0.16,0.00,-,16,"2,922",218.75%,AAPL,P
7,AAPL190920P00130000,2019-09-17 10:42AM EDT,130.00,0.03,0.00,0.02,+0.02,+200.00%,517,"1,949",165.63%,AAPL,P
8,AAPL190920P00135000,2019-09-04 9:32AM EDT,135.00,0.01,0.00,0.02,0.00,-,20,"2,819",156.25%,AAPL,P
9,AAPL190920P00140000,2019-09-17 11:21AM EDT,140.00,0.01,0.00,0.01,0.00,-,10,"8,269",137.50%,AAPL,P
10,AAPL190920P00145000,2019-09-16 9:43AM EDT,145.00,0.01,0.00,0.10,0.00,-,4,"2,847",157.03%,AAPL,P
11,AAPL190920P00150000,2019-09-13 3:49PM EDT,150.00,0.01,0.00,0.01,0.00,-,78,"10,402",118.75%,AAPL,P
12,AAPL190920P00155000,2019-09-17 1:18PM EDT,155.00,0.01,0.00,0.01,0.00,-,1,"3,795",106.25%,AAPL,P
13,AAPL190920P00160000,2019-09-17 10:13AM EDT,160.00,0.01,0.00,0.01,0.00,-,1,"14,360",98.44%,AAPL,P
14,AAPL190920P00165000,2019-09-17 2:22PM EDT,165.00,0.01,0.00,0.01,0.00,-,10,"7,202",90.63%,AAPL,P
15,AAPL190920P00170000,2019-09-17 11:08AM EDT,170.00,0.01,0.00,0.01,0.00,-,12,"9,757",81.25%,AAPL,P
16,AAPL190920P00175000,2019-09-17 3:45PM EDT,175.00,0.01,0.00,0.01,0.00,-,20,"11,449",71.88%,AAPL,P
17,AAPL190920P00180000,2019-09-17 3:29PM EDT,180.00,0.01,0.00,0.01,-0.02,-66.67%,48,"19,167",65.63%,AAPL,P
18,AAPL190920P00182500,2019-09-17 3:45PM EDT,182.50,0.01,0.00,0.01,0.00,-,392,"1,445",60.94%,AAPL,P
19,AAPL190920P00185000,2019-09-17 3:48PM EDT,185.00,0.01,0.01,0.02,-0.01,-50.00%,174,"15,065",62.50%,AAPL,P
20,AAPL190920P00187500,2019-09-17 3:46PM EDT,187.50,0.01,0.00,0.02,-0.01,-50.00%,16,"1,522",56.25%,AAPL,P
21,AAPL190920P00190000,2019-09-17 3:48PM EDT,190.00,0.02,0.01,0.02,-0.01,-33.33%,576,"18,575",53.91%,AAPL,P
22,AAPL190920P00192500,2019-09-17 3:21PM EDT,192.50,0.02,0.02,0.03,-0.02,-50.00%,"2,639","5,599",52.73%,AAPL,P
23,AAPL190920P00195000,2019-09-17 3:57PM EDT,195.00,0.03,0.02,0.03,-0.02,-40.00%,534,"27,288",49.61%,AAPL,P
24,AAPL190920P00197500,2019-09-17 3:49PM EDT,197.50,0.04,0.01,0.04,-0.03,-42.86%,"5,131","8,350",46.48%,AAPL,P
25,AAPL190920P00200000,2019-09-17 3:59PM EDT,200.00,0.06,0.05,0.07,-0.03,-33.33%,930,"35,435",45.51%,AAPL,P
26,AAPL190920P00202500,2019-09-17 3:41PM EDT,202.50,0.08,0.05,0.08,-0.04,-33.33%,514,"8,163",41.41%,AAPL,P
27,AAPL190920P00205000,2019-09-17 3:59PM EDT,205.00,0.11,0.08,0.09,-0.05,-31.25%,"6,487","16,956",37.01%,AAPL,P
28,AAPL190920P00207500,2019-09-17 3:59PM EDT,207.50,0.13,0.12,0.13,-0.10,-43.48%,445,"4,183",34.08%,AAPL,P
29,AAPL190920P00210000,2019-09-17 3:59PM EDT,210.00,0.18,0.16,0.19,-0.14,-43.75%,"5,315","26,711",30.96%,AAPL,P
30,AAPL190920P00212500,2019-09-17 3:59PM EDT,212.50,0.27,0.27,0.29,-0.25,-48.08%,"2,832","11,637",27.88%,AAPL,P
31,AAPL190920P00215000,2019-09-17 3:59PM EDT,215.00,0.47,0.47,0.50,-0.41,-46.59%,"9,679","25,761",25.44%,AAPL,P
32,AAPL190920P00217500,2019-09-17 3:59PM EDT,217.50,0.90,0.88,0.92,-0.60,-40.00%,"10,418","14,554",23.51%,AAPL,P
33,AAPL190920P00220000,2019-09-17 3:59PM EDT,220.00,1.70,1.65,1.70,-0.76,-30.89%,"9,207","9,913",22.07%,AAPL,P
34,AAPL190920P00222500,2019-09-17 3:59PM EDT,222.50,2.94,2.95,3.05,-0.91,-23.64%,"1,239","4,027",21.88%,AAPL,P
35,AAPL190920P00225000,2019-09-17 3:59PM EDT,225.00,4.80,4.50,4.95,-0.85,-15.04%,663,"8,956",23.10%,AAPL,P
36,AAPL190920P00227500,2019-09-17 3:59PM EDT,227.50,6.90,6.85,7.10,-0.90,-11.54%,"1,167","1,552",23.78%,AAPL,P
37,AAPL190920P00230000,2019-09-17 3:51PM EDT,230.00,9.75,9.15,9.50,-0.54,-5.25%,176,"2,072",26.86%,AAPL,P
38,AAPL190920P00232500,2019-09-17 3:33PM EDT,232.50,12.25,11.60,12.00,-0.60,-4.67%,28,372,32.13%,AAPL,P
39,AAPL190920P00235000,2019-09-16 1:16PM EDT,235.00,15.61,14.10,14.50,0.00,-,6,32,37.21%,AAPL,P
40,AAPL190920P00237500,2019-09-16 12:01AM EDT,237.50,12.30,16.60,17.00,0.00,-,-,8,42.09%,AAPL,P
41,AAPL190920P00240000,2019-09-16 1:37PM EDT,240.00,20.15,19.10,19.50,0.00,-,11,84,46.78%,AAPL,P
42,AAPL190920P00242500,2019-09-16 12:01AM EDT,242.50,17.91,21.60,22.00,0.00,-,-,1,51.37%,AAPL,P
43,AAPL190920P00245000,2019-09-17 12:37PM EDT,245.00,25.50,24.10,24.50,+0.22,+0.87%,4,3,55.86%,AAPL,P
44,AAPL190920P00250000,2019-09-13 3:49PM EDT,250.00,31.40,29.10,29.50,0.00,-,2,2,64.45%,AAPL,P
45,AAPL190920P00255000,2019-08-12 9:50AM EDT,255.00,54.15,29.30,29.65,0.00,-,10,0,0.00%,AAPL,P
46,AAPL190920P00260000,2019-08-05 10:17AM EDT,260.00,64.05,46.95,47.10,0.00,-,10,0,220.31%,AAPL,P
47,AAPL190920P00265000,2019-08-19 12:11AM EDT,265.00,60.05,43.60,44.75,0.00,-,-,-,101.76%,AAPL,P
48,AAPL190920P00270000,2019-08-01 1:38PM EDT,270.00,57.30,59.80,62.45,0.00,-,-,0,298.00%,AAPL,P
49,AAPL190920P00275000,2019-08-12 12:09AM EDT,275.00,73.60,52.00,52.35,0.00,-,10,0,0.00%,AAPL,P
50,AAPL190920P00280000,2019-08-23 12:10PM EDT,280.00,76.25,58.70,59.75,0.00,-,-,0,125.39%,AAPL,P
51,AAPL190920P00305000,2019-08-01 3:20PM EDT,305.00,96.60,95.85,97.30,0.00,-,-,0,383.89%,AAPL,P
