,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,FB190920C00050000,2019-09-12 10:50AM EDT,50,138.25,138,138.4,0,-,13,396,517.19%,FB,C
1,FB190920C00055000,2019-07-29 10:41AM EDT,55,141.4,128.3,132.7,0,-,1,356,0.00%,FB,C
2,FB190920C00060000,2019-06-07 10:57AM EDT,60,102.5,136.45,137.15,0,-,13,153,1073.63%,FB,C
3,FB190920C00065000,2019-06-21 1:08PM EDT,65,126.27,133.25,134.15,0,-,1,229,1081.98%,FB,C
4,FB190920C00070000,2019-07-01 10:29AM EDT,70,124.2,0,0,0,-,1,0,0.00%,FB,C
5,FB190920C00075000,2019-06-21 1:08PM EDT,75,116.25,123.2,124.1,0,-,1,37,952.10%,FB,C
6,FB190920C00080000,2019-09-06 9:30AM EDT,80,109.8,107.85,108.5,0,-,1,1,332.03%,FB,C
7,FB190920C00085000,2019-08-15 2:52PM EDT,85,96.7,101.05,103.8,0,-,30,0,415.23%,FB,C
8,FB190920C00090000,2019-06-13 3:56PM EDT,90,88.3,111.85,112.4,0,-,1,52,894.29%,FB,C
9,FB190920C00095000,2019-06-04 12:16PM EDT,95,71.65,102.35,102.95,0,-,11,42,719.73%,FB,C
10,FB190920C00100000,2019-09-16 2:05PM EDT,100,86.42,87.95,88.45,0,-,2,166,257.81%,FB,C
11,FB190920C00105000,2019-08-27 12:34PM EDT,105,77.05,82.85,83.5,0,-,1,52,232.81%,FB,C
12,FB190920C00110000,2019-08-23 10:02AM EDT,110,71.5,77.85,78.5,0,-,1,85,215.63%,FB,C
13,FB190920C00115000,2019-08-13 12:55PM EDT,115,75.36,70.1,74.4,0,-,1,0,309.18%,FB,C
14,FB190920C00120000,2019-09-05 1:15PM EDT,120,70,67.85,68.5,0,-,1,77,183.59%,FB,C
15,FB190920C00125000,2019-09-17 2:18PM EDT,125,60.9,63,63.45,1.61,2.72%,552,632,178.52%,FB,C
16,FB190920C00130000,2019-09-06 2:56PM EDT,130,57.88,58,58.4,0,-,1,294,158.98%,FB,C
17,FB190920C00135000,2019-09-13 10:29AM EDT,135,52.54,53,53.45,0,-,8,378,148.44%,FB,C
18,FB190920C00140000,2019-09-17 2:08PM EDT,140,45.78,48,48.5,-2.22,-4.63%,53,731,137.11%,FB,C
19,FB190920C00145000,2019-09-17 10:42AM EDT,145,41.1,43,43.45,0.07,0.17%,1,399,119.92%,FB,C
20,FB190920C00150000,2019-09-17 3:12PM EDT,150,36.4,38,38.5,0.6,1.68%,87,958,108.98%,FB,C
21,FB190920C00155000,2019-09-17 3:52PM EDT,155,32.8,32.95,33.4,1.77,5.70%,9,"1,003",87.11%,FB,C
22,FB190920C00160000,2019-09-17 3:45PM EDT,160,27.3,28.05,28.5,1,3.80%,185,"1,609",83.79%,FB,C
23,FB190920C00162500,2019-09-12 11:11AM EDT,162.5,26.7,25.35,26,0,-,43,57,68.36%,FB,C
24,FB190920C00165000,2019-09-17 2:53PM EDT,165,21.25,23.05,23.5,0.22,1.05%,30,"2,158",70.31%,FB,C
25,FB190920C00167500,2019-09-13 10:54AM EDT,167.5,19.9,20.4,21,0,-,13,60,58.20%,FB,C
26,FB190920C00170000,2019-09-17 3:53PM EDT,170,17.85,18.05,18.5,1.92,12.05%,38,"4,234",56.84%,FB,C
27,FB190920C00172500,2019-09-13 3:08PM EDT,172.5,14.55,15.55,15.95,0,-,24,289,57.62%,FB,C
28,FB190920C00175000,2019-09-17 3:55PM EDT,175,13.02,13.1,13.5,1.57,13.71%,91,"2,776",51.76%,FB,C
29,FB190920C00177500,2019-09-17 3:49PM EDT,177.5,10.36,10.6,10.85,1.41,15.75%,19,550,39.26%,FB,C
30,FB190920C00180000,2019-09-17 3:59PM EDT,180,8.35,8.25,8.4,1.85,28.46%,561,"20,312",33.35%,FB,C
31,FB190920C00182500,2019-09-17 3:58PM EDT,182.5,6,5.9,6.05,1.48,32.74%,529,"2,403",28.86%,FB,C
32,FB190920C00185000,2019-09-17 3:59PM EDT,185,3.81,3.8,3.9,1.13,42.16%,"5,863","15,516",25.59%,FB,C
33,FB190920C00187500,2019-09-17 3:59PM EDT,187.5,2.08,2.07,2.11,0.71,51.82%,"10,796","6,601",23.02%,FB,C
34,FB190920C00190000,2019-09-17 3:59PM EDT,190,0.97,0.94,0.97,0.38,64.41%,"17,367","28,137",22.36%,FB,C
35,FB190920C00192500,2019-09-17 3:59PM EDT,192.5,0.38,0.35,0.38,0.13,52.00%,"4,820","5,457",22.41%,FB,C
36,FB190920C00195000,2019-09-17 3:59PM EDT,195,0.16,0.15,0.16,0.04,33.33%,"2,547","14,503",23.93%,FB,C
37,FB190920C00197500,2019-09-17 3:58PM EDT,197.5,0.07,0.07,0.08,0,-,"1,181","4,147",26.27%,FB,C
38,FB190920C00200000,2019-09-17 3:59PM EDT,200,0.05,0.04,0.05,0.01,25.00%,"2,139","45,474",29.30%,FB,C
39,FB190920C00202500,2019-09-17 3:58PM EDT,202.5,0.03,0.02,0.04,0,-,7,875,33.20%,FB,C
40,FB190920C00205000,2019-09-17 3:59PM EDT,205,0.02,0.01,0.02,-0.01,-33.33%,523,"14,240",34.38%,FB,C
41,FB190920C00207500,2019-09-16 3:30PM EDT,207.5,0.02,0.01,0.03,0,-,106,412,40.63%,FB,C
42,FB190920C00210000,2019-09-17 3:35PM EDT,210,0.03,0.01,0.03,0,-,26,"12,770",44.92%,FB,C
43,FB190920C00215000,2019-09-17 3:54PM EDT,215,0.01,0.01,0.02,-0.01,-50.00%,91,"5,118",50.78%,FB,C
44,FB190920C00220000,2019-09-17 12:56PM EDT,220,0.01,0,0.01,0,-,66,"9,407",50.00%,FB,C
45,FB190920C00225000,2019-09-17 10:51AM EDT,225,0.01,0,0.01,-0.01,-50.00%,63,"5,533",57.81%,FB,C
46,FB190920C00230000,2019-09-17 9:51AM EDT,230,0.01,0,0.01,0,-,10,"4,874",64.06%,FB,C
47,FB190920C00235000,2019-09-17 2:15PM EDT,235,0.01,0,0.01,0,-,14,"3,821",68.75%,FB,C
48,FB190920C00240000,2019-09-06 3:18PM EDT,240,0.01,0,0.01,-0.01,-50.00%,10,"1,546",75.00%,FB,C
49,FB190920C00245000,2019-09-17 9:30AM EDT,245,0.01,0,0.01,0,-,10,"1,801",81.25%,FB,C
50,FB190920C00250000,2019-09-09 3:34PM EDT,250,0.01,0,0.01,0,-,10,"1,941",87.50%,FB,C
51,FB190920C00255000,2019-09-17 9:43AM EDT,255,0.01,0,0.01,0,-,10,684,93.75%,FB,C
52,FB190920C00260000,2019-09-03 10:09AM EDT,260,0.01,0,0.01,0,-,10,150,96.88%,FB,C
53,FB190920C00265000,2019-09-17 9:42AM EDT,265,0.01,0,0.01,-0.02,-66.67%,10,126,103.13%,FB,C
54,FB190920C00270000,2019-08-05 10:58AM EDT,270,0.02,0,0.04,0,-,5,582,121.88%,FB,C
55,FB190920C00275000,2019-07-29 9:45AM EDT,275,0.03,0,0.04,0,-,2,174,128.13%,FB,C
56,FB190920C00280000,2019-09-17 9:30AM EDT,280,0.02,0,0.01,0.01,100.00%,10,607,118.75%,FB,C
57,FB190920C00285000,2019-07-25 11:19AM EDT,285,0.01,0,0.04,0,-,4,358,138.28%,FB,C
58,FB190920C00290000,2019-09-17 9:30AM EDT,290,0.01,0,0.01,0,-,10,"19,641",128.13%,FB,C
59,FB190920C00295000,2019-07-25 1:15PM EDT,295,0.01,0,0,0,-,101,"5,691",50.00%,FB,C
60,FB190920C00300000,2019-08-12 12:11PM EDT,300,0.01,0,0,0,-,1,"11,263",50.00%,FB,C
