,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,FB190920P00050000,2019-08-05 2:07PM EDT,50,0.01,0,0.03,0,-,1,290,418.75%,FB,P
1,FB190920P00055000,2019-06-07 10:57AM EDT,55,0.02,0,0.02,0,-,25,39,375.00%,FB,P
2,FB190920P00060000,2019-06-07 11:12AM EDT,60,0.02,0,0.02,0,-,5,19,350.00%,FB,P
3,FB190920P00065000,2019-06-07 11:12AM EDT,65,0.01,0,0.02,0,-,100,174,325.00%,FB,P
4,FB190920P00070000,2019-08-02 3:17PM EDT,70,0.01,0,0.03,0,-,100,418,315.63%,FB,P
5,FB190920P00075000,2019-08-12 1:03PM EDT,75,0.01,0,0,0,-,94,197,50.00%,FB,P
6,FB190920P00080000,2019-08-12 1:03PM EDT,80,0.01,0,0,0,-,91,626,100.00%,FB,P
7,FB190920P00085000,2019-08-06 9:32AM EDT,85,0.03,0,0.03,0,-,3,"1,334",256.25%,FB,P
8,FB190920P00090000,2019-09-09 1:54PM EDT,90,0.01,0,0.02,0,-,1,872,231.25%,FB,P
9,FB190920P00095000,2019-08-12 1:00PM EDT,95,0.01,0,0,0,-,38,925,50.00%,FB,P
10,FB190920P00100000,2019-08-16 9:47AM EDT,100,0.01,0.01,0.01,0,-,90,"2,745",198.44%,FB,P
11,FB190920P00105000,2019-08-26 9:35AM EDT,105,0.01,0,0.01,0,-,1,"6,556",175.00%,FB,P
12,FB190920P00110000,2019-08-23 3:32PM EDT,110,0.02,0,0.01,0,-,"1,589","10,420",162.50%,FB,P
13,FB190920P00115000,2019-09-05 11:25AM EDT,115,0.01,0,0.01,0,-,3,"5,540",150.00%,FB,P
14,FB190920P00120000,2019-09-04 12:32PM EDT,120,0.01,0,0.02,0,-,10,"3,609",143.75%,FB,P
15,FB190920P00125000,2019-09-05 9:38AM EDT,125,0.01,0,0.02,0,-,3,"4,563",132.81%,FB,P
16,FB190920P00130000,2019-09-16 3:14PM EDT,130,0.01,0,0.02,0,-,1,"4,783",121.88%,FB,P
17,FB190920P00135000,2019-09-10 10:23AM EDT,135,0.01,0,0.01,0,-,5,"3,473",103.13%,FB,P
18,FB190920P00140000,2019-09-16 3:48PM EDT,140,0.01,0,0.02,0,-,1,"4,773",98.44%,FB,P
19,FB190920P00145000,2019-09-13 2:42PM EDT,145,0.01,0,0.01,-0.02,-66.67%,10,"4,335",81.25%,FB,P
20,FB190920P00150000,2019-09-17 11:23AM EDT,150,0.02,0,0.03,0.01,100.00%,10,"6,778",79.69%,FB,P
21,FB190920P00155000,2019-09-17 12:33PM EDT,155,0.01,0,0.01,0,-,3,"4,845",62.50%,FB,P
22,FB190920P00160000,2019-09-17 2:40PM EDT,160,0.01,0,0.02,0,-,32,"8,941",56.25%,FB,P
23,FB190920P00162500,2019-09-16 12:10PM EDT,162.5,0.03,0,0.03,0,-,22,378,53.91%,FB,P
24,FB190920P00165000,2019-09-17 3:25PM EDT,165,0.01,0.01,0.02,-0.01,-50.00%,13,"8,298",50.39%,FB,P
25,FB190920P00167500,2019-09-16 3:12PM EDT,167.5,0.04,0.01,0.02,0,-,148,"1,211",45.31%,FB,P
26,FB190920P00170000,2019-09-17 3:55PM EDT,170,0.02,0.02,0.03,-0.03,-60.00%,792,"9,730",42.19%,FB,P
27,FB190920P00172500,2019-09-17 3:58PM EDT,172.5,0.03,0.02,0.05,-0.04,-57.14%,147,"1,585",39.65%,FB,P
28,FB190920P00175000,2019-09-17 3:59PM EDT,175,0.05,0.05,0.06,-0.06,-54.55%,427,"8,277",34.77%,FB,P
29,FB190920P00177500,2019-09-17 3:58PM EDT,177.5,0.08,0.07,0.09,-0.09,-52.94%,897,"3,330",31.15%,FB,P
30,FB190920P00180000,2019-09-17 3:59PM EDT,180,0.15,0.13,0.16,-0.2,-57.14%,"3,082","26,211",28.03%,FB,P
31,FB190920P00182500,2019-09-17 3:59PM EDT,182.5,0.31,0.3,0.31,-0.39,-55.71%,"1,802","4,111",25.24%,FB,P
32,FB190920P00185000,2019-09-17 3:59PM EDT,185,0.69,0.65,0.69,-0.65,-48.51%,"5,977","22,012",23.54%,FB,P
33,FB190920P00187500,2019-09-17 3:59PM EDT,187.5,1.38,1.41,1.45,-1.11,-44.58%,"4,161","6,361",22.00%,FB,P
34,FB190920P00190000,2019-09-17 3:59PM EDT,190,2.72,2.75,2.81,-1.62,-37.33%,916,"16,576",21.27%,FB,P
35,FB190920P00192500,2019-09-17 2:52PM EDT,192.5,6.56,4.65,4.8,-0.09,-1.35%,39,"1,363",22.44%,FB,P
36,FB190920P00195000,2019-09-17 3:44PM EDT,195,8,6.9,7.1,-0.8,-9.09%,26,"5,263",24.61%,FB,P
37,FB190920P00197500,2019-09-17 3:49PM EDT,197.5,9.74,9.3,9.55,-1.16,-10.64%,17,65,28.91%,FB,P
38,FB190920P00200000,2019-09-17 3:30PM EDT,200,13.5,11.6,12.1,-0.49,-3.50%,91,"8,313",37.01%,FB,P
39,FB190920P00202500,2019-09-13 1:43PM EDT,202.5,14.81,14.05,14.7,0,-,1,62,46.97%,FB,P
40,FB190920P00205000,2019-09-13 10:52AM EDT,205,17.66,16.6,17.1,0,-,1,725,48.34%,FB,P
41,FB190920P00207500,2019-08-26 10:09AM EDT,207.5,23.4,19.05,19.7,0,-,14,0,58.59%,FB,P
42,FB190920P00210000,2019-09-17 10:21AM EDT,210,23.4,21.6,22.05,1.5,6.85%,6,238,55.66%,FB,P
43,FB190920P00215000,2019-09-09 12:27PM EDT,215,28.45,26.55,27.1,0,-,9,0,68.95%,FB,P
44,FB190920P00220000,2019-09-11 10:42AM EDT,220,32.2,31.55,32.2,0,-,8,2,84.77%,FB,P
45,FB190920P00225000,2019-09-17 2:09PM EDT,225,39.45,36.55,37.2,2.2,5.91%,3,3,94.43%,FB,P
46,FB190920P00230000,2019-08-22 3:06PM EDT,230,48.06,41.55,42.2,0,-,1,0,103.61%,FB,P
47,FB190920P00235000,2019-08-21 3:45PM EDT,235,51.48,46.55,47.2,0,-,2,0,112.50%,FB,P
48,FB190920P00240000,2019-08-16 1:58PM EDT,240,56.75,51.55,52.2,0,-,2,0,121.09%,FB,P
49,FB190920P00245000,2019-08-26 11:02AM EDT,245,65.83,56.55,57.2,0,-,1,0,129.39%,FB,P
50,FB190920P00250000,2019-08-16 1:57PM EDT,250,66.82,61.55,62.2,0,-,5,0,137.50%,FB,P
51,FB190920P00255000,2019-07-17 10:59AM EDT,255,52.75,71.9,72.35,0,-,2,0,285.11%,FB,P
52,FB190920P00290000,2019-09-16 12:14AM EDT,290,101.75,101.55,102.2,0,-,-,-,194.14%,FB,P
53,FB190920P00295000,2019-09-16 12:14AM EDT,295,105.2,106.55,107.2,0,-,-,-,200.39%,FB,P
