,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,GOOG190920C00620000,2019-09-11 3:55PM EDT,620.00,598.30,604.00,612.90,0.00,-,1,2,349.29%,GOOG,C
1,GOOG190920C00640000,2019-09-10 9:50AM EDT,640.00,563.40,584.00,592.90,0.00,-,1,2,334.86%,GOOG,C
2,GOOG190920C00660000,2019-06-10 12:04AM EDT,660.00,478.10,452.10,460.40,0.00,-,1,1,0.00%,GOOG,C
3,GOOG190920C00680000,2019-06-10 12:04AM EDT,680.00,458.90,433.00,440.60,0.00,-,1,1,0.00%,GOOG,C
4,GOOG190920C00700000,2019-06-20 3:48PM EDT,700.00,415.00,429.00,438.40,0.00,-,1,2,0.00%,GOOG,C
5,GOOG190920C00720000,2019-06-07 10:55AM EDT,720.00,419.04,410.00,418.40,0.00,-,1,2,0.00%,GOOG,C
6,GOOG190920C00770000,2019-09-16 12:12AM EDT,770.00,469.20,454.00,463.50,0.00,-,-,1,257.25%,GOOG,C
7,GOOG190920C00800000,2019-06-21 12:38PM EDT,800.00,322.00,329.90,339.30,0.00,-,2,3,0.00%,GOOG,C
8,GOOG190920C00820000,2019-08-12 2:26PM EDT,820.00,355.66,395.00,404.00,0.00,-,5,0,0.00%,GOOG,C
9,GOOG190920C00840000,2019-06-10 12:04AM EDT,840.00,331.40,274.50,282.70,0.00,-,1,17,0.00%,GOOG,C
10,GOOG190920C00860000,2019-08-12 2:26PM EDT,860.00,316.09,355.00,363.90,0.00,-,10,0,0.00%,GOOG,C
11,GOOG190920C00885000,2019-09-16 12:43PM EDT,885.00,343.40,339.50,348.60,0.00,-,1,1,191.77%,GOOG,C
12,GOOG190920C00900000,2019-08-12 2:26PM EDT,900.00,276.62,315.00,322.50,0.00,-,5,0,0.00%,GOOG,C
13,GOOG190920C00920000,2019-09-12 9:37AM EDT,920.00,307.05,304.50,313.50,0.00,-,1,14,172.05%,GOOG,C
14,GOOG190920C00940000,2019-06-28 3:54PM EDT,940.00,152.00,307.00,316.70,0.00,-,3,0,251.78%,GOOG,C
