,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,GOOG190920P00620000,2019-09-17 3:36PM EDT,620.00,0.04,0.00,0.05,+0.01,+33.33%,52,443,199.22%,GOOG,P
1,GOOG190920P00640000,2019-08-23 12:12PM EDT,640.00,0.10,0.00,0.05,0.00,-,1,78,190.63%,GOOG,P
2,GOOG190920P00660000,2019-08-28 1:32PM EDT,660.00,0.20,0.00,0.15,0.00,-,1,66,198.83%,GOOG,P
3,GOOG190920P00680000,2019-09-09 2:14PM EDT,680.00,0.10,0.00,0.15,0.00,-,1,31,189.84%,GOOG,P
4,GOOG190920P00700000,2019-09-17 10:29AM EDT,700.00,0.06,0.00,0.15,-0.09,-60.00%,8,193,181.25%,GOOG,P
5,GOOG190920P00720000,2019-08-28 3:06PM EDT,720.00,0.05,0.00,0.15,0.00,-,10,35,172.66%,GOOG,P
6,GOOG190920P00740000,2019-08-30 10:31AM EDT,740.00,0.03,0.00,0.15,0.00,-,2,281,164.45%,GOOG,P
7,GOOG190920P00750000,2019-08-19 12:03AM EDT,750.00,0.10,-,0.15,0.00,-,-,5,171.09%,GOOG,P
8,GOOG190920P00760000,2019-08-28 3:47PM EDT,760.00,0.05,0.00,0.15,0.00,-,10,511,156.25%,GOOG,P
9,GOOG190920P00780000,2019-08-29 10:07AM EDT,780.00,0.07,0.00,0.15,0.00,-,2,71,148.44%,GOOG,P
10,GOOG190920P00790000,2019-09-11 12:13PM EDT,790.00,0.05,0.00,0.15,0.00,-,5,23,144.53%,GOOG,P
11,GOOG190920P00800000,2019-09-16 2:17PM EDT,800.00,0.05,0.00,0.15,0.00,-,6,569,140.63%,GOOG,P
12,GOOG190920P00820000,2019-08-27 12:30PM EDT,820.00,0.05,0.00,0.05,0.00,-,7,119,121.09%,GOOG,P
13,GOOG190920P00825000,2019-08-27 2:35PM EDT,825.00,0.05,0.00,0.15,0.00,-,5,6,131.25%,GOOG,P
14,GOOG190920P00830000,2019-07-29 10:41AM EDT,830.00,0.14,0.00,4.90,0.00,-,1,3,199.56%,GOOG,P
15,GOOG190920P00840000,2019-09-11 12:50PM EDT,840.00,0.07,0.00,0.15,0.00,-,10,296,125.78%,GOOG,P
16,GOOG190920P00850000,2019-09-11 12:50PM EDT,850.00,0.08,0.00,0.15,0.00,-,10,24,122.27%,GOOG,P
17,GOOG190920P00860000,2019-09-16 2:17PM EDT,860.00,0.02,0.00,0.05,0.00,-,6,129,107.81%,GOOG,P
18,GOOG190920P00865000,2019-07-26 12:34PM EDT,865.00,0.17,0.00,0.20,0.00,-,1,10,120.12%,GOOG,P
19,GOOG190920P00870000,2019-06-26 11:33AM EDT,870.00,4.00,0.00,0.30,0.00,-,-,0,123.05%,GOOG,P
20,GOOG190920P00875000,2019-08-30 12:07PM EDT,875.00,0.10,0.00,0.15,0.00,-,6,7,113.28%,GOOG,P
