,Contract_Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied_Volatility,Ticker,C/P
0,NFLX190920C00165000,2019-09-13 11:22AM EDT,165,131.07,132.7,134.95,0,-,4,16,248.83%,NFLX,C
1,NFLX190920C00170000,2019-09-10 3:05PM EDT,170,113.99,127.65,129.2,0,-,1,222,274.02%,NFLX,C
2,NFLX190920C00180000,2019-07-22 12:08AM EDT,180,141.9,111.15,111.75,0,-,-,10,0.00%,NFLX,C
3,NFLX190920C00185000,2019-07-19 10:55AM EDT,185,136.95,106.15,106.95,0,-,10,12,0.00%,NFLX,C
4,NFLX190920C00190000,2019-08-15 10:58AM EDT,190,101.2,103.55,104.65,0,-,5,0,0.00%,NFLX,C
5,NFLX190920C00195000,2019-08-15 10:40AM EDT,195,99,98.55,99.7,0,-,1,0,0.00%,NFLX,C
6,NFLX190920C00200000,2019-09-17 9:52AM EDT,200,96.68,97.75,99.35,5.68,6.24%,1,168,211.52%,NFLX,C
7,NFLX190920C00210000,2019-09-13 2:02PM EDT,210,86.67,87.5,89.95,0,-,10,13,144.14%,NFLX,C
8,NFLX190920C00220000,2019-09-13 2:02PM EDT,220,76.61,77.5,80,0,-,10,8,130.08%,NFLX,C
9,NFLX190920C00225000,2019-09-10 11:17AM EDT,225,69.59,72.45,75,0,-,5,5,118.56%,NFLX,C
10,NFLX190920C00230000,2019-08-22 1:09PM EDT,230,69.52,67.75,69.3,0,-,1,24,145.31%,NFLX,C
11,NFLX190920C00235000,2019-08-27 10:21AM EDT,235,64.25,62.85,64.3,0,-,6,221,135.30%,NFLX,C
12,NFLX190920C00240000,2019-09-17 1:35PM EDT,240,57.5,57.75,59.4,3.93,7.34%,4,229,128.86%,NFLX,C
13,NFLX190920C00245000,2019-09-12 1:49PM EDT,245,45.65,52.8,54.4,0,-,2,413,50.00%,NFLX,C
14,NFLX190920C00247500,2019-09-16 9:31AM EDT,247.5,48.9,50,51.95,0,-,1,1,115.43%,NFLX,C
15,NFLX190920C00250000,2019-09-16 2:13PM EDT,250,43.6,47.85,49.4,0,-,105,581,64.84%,NFLX,C
16,NFLX190920C00255000,2019-09-11 1:30PM EDT,255,35.59,42.6,44.4,0,-,60,120,99.17%,NFLX,C
17,NFLX190920C00257500,2019-09-17 9:46AM EDT,257.5,39,40,42.9,2,5.41%,1,2,79.59%,NFLX,C
18,NFLX190920C00260000,2019-09-17 2:18PM EDT,260,37.77,38,39.45,3.69,10.83%,4,181,63.48%,NFLX,C
19,NFLX190920C00265000,2019-09-13 3:58PM EDT,265,29.41,32.55,35.45,0,-,14,55,68.46%,NFLX,C
20,NFLX190920C00270000,2019-09-17 3:52PM EDT,270,29.25,27.95,29.5,4.8,19.63%,3,146,71.95%,NFLX,C
21,NFLX190920C00272500,2019-09-16 2:40PM EDT,272.5,22.6,25.45,27,0,-,3,33,66.94%,NFLX,C
22,NFLX190920C00275000,2019-09-17 3:59PM EDT,275,23.8,23.15,24.25,3.78,18.88%,17,208,56.89%,NFLX,C
23,NFLX190920C00277500,2019-09-17 1:24PM EDT,277.5,20.4,21,21.65,2.8,15.91%,9,107,49.95%,NFLX,C
24,NFLX190920C00280000,2019-09-17 3:46PM EDT,280,19.2,18.5,19.15,4.2,28.00%,53,472,45.22%,NFLX,C
25,NFLX190920C00282500,2019-09-17 2:27PM EDT,282.5,14.95,16.05,16.75,2.85,23.55%,11,319,42.33%,NFLX,C
26,NFLX190920C00285000,2019-09-17 3:55PM EDT,285,13.93,13.65,14.35,3.08,28.39%,75,745,38.97%,NFLX,C
27,NFLX190920C00287500,2019-09-17 3:56PM EDT,287.5,12,11.45,12.05,3.16,35.75%,461,641,36.52%,NFLX,C
28,NFLX190920C00290000,2019-09-17 3:59PM EDT,290,9.73,9.4,9.85,2.69,38.21%,895,"3,785",34.42%,NFLX,C
29,NFLX190920C00292500,2019-09-17 3:59PM EDT,292.5,7.57,7.5,7.65,2.27,42.83%,"2,070","1,204",31.25%,NFLX,C
30,NFLX190920C00295000,2019-09-17 3:59PM EDT,295,5.69,5.7,5.85,1.69,42.25%,"5,718","5,802",30.49%,NFLX,C
31,NFLX190920C00297500,2019-09-17 3:59PM EDT,297.5,4.2,4.2,4.3,1.33,46.34%,"4,139","2,392",29.92%,NFLX,C
32,NFLX190920C00300000,2019-09-17 3:59PM EDT,300,3.07,2.99,3.1,1.03,50.49%,"12,106","19,465",30.07%,NFLX,C
33,NFLX190920C00302500,2019-09-17 3:59PM EDT,302.5,2.06,2.11,2.19,0.58,39.19%,"2,300","2,256",30.49%,NFLX,C
34,NFLX190920C00305000,2019-09-17 3:59PM EDT,305,1.44,1.48,1.53,0.41,39.81%,"4,541","5,894",31.18%,NFLX,C
35,NFLX190920C00307500,2019-09-17 3:59PM EDT,307.5,1.03,1.04,1.11,0.25,32.05%,965,"1,031",32.54%,NFLX,C
36,NFLX190920C00310000,2019-09-17 3:59PM EDT,310,0.76,0.74,0.79,0.17,28.81%,"5,925","15,056",33.64%,NFLX,C
37,NFLX190920C00312500,2019-09-17 3:58PM EDT,312.5,0.61,0.56,0.62,0.13,27.08%,"1,575","1,154",35.74%,NFLX,C
38,NFLX190920C00315000,2019-09-17 3:58PM EDT,315,0.48,0.47,0.5,0.09,23.08%,746,"4,010",37.89%,NFLX,C
39,NFLX190920C00317500,2019-09-17 3:59PM EDT,317.5,0.4,0.38,0.41,0.09,29.03%,253,601,40.04%,NFLX,C
40,NFLX190920C00320000,2019-09-17 3:59PM EDT,320,0.35,0.31,0.35,0.03,9.38%,"1,141","7,457",42.38%,NFLX,C
41,NFLX190920C00322500,2019-09-17 3:56PM EDT,322.5,0.3,0.28,0.32,0.04,15.38%,113,380,45.22%,NFLX,C
42,NFLX190920C00325000,2019-09-17 3:57PM EDT,325,0.27,0.24,0.29,0.04,17.39%,407,"2,741",47.80%,NFLX,C
43,NFLX190920C00327500,2019-09-17 3:33PM EDT,327.5,0.24,0.19,0.27,0.02,9.09%,70,249,50.54%,NFLX,C
44,NFLX190920C00330000,2019-09-17 3:50PM EDT,330,0.24,0.19,0.23,0.05,26.32%,507,"10,385",51.47%,NFLX,C
45,NFLX190920C00335000,2019-09-17 3:18PM EDT,335,0.17,0.12,0.2,0.02,13.33%,86,"3,386",55.27%,NFLX,C
46,NFLX190920C00340000,2019-09-17 3:34PM EDT,340,0.14,0.11,0.13,-0.02,-12.50%,215,"3,016",58.59%,NFLX,C
47,NFLX190920C00345000,2019-09-17 3:56PM EDT,345,0.13,0.06,0.13,0.02,18.18%,75,"1,502",62.11%,NFLX,C
48,NFLX190920C00350000,2019-09-17 3:38PM EDT,350,0.08,0.05,0.09,-0.01,-11.11%,273,"4,220",64.65%,NFLX,C
49,NFLX190920C00355000,2019-09-17 11:31AM EDT,355,0.04,0.01,0.1,-0.02,-33.33%,8,"1,408",67.58%,NFLX,C
50,NFLX190920C00360000,2019-09-17 3:54PM EDT,360,0.05,0.02,0.05,0,-,120,"4,213",68.75%,NFLX,C
51,NFLX190920C00365000,2019-09-17 3:51PM EDT,365,0.03,0.02,0.04,-0.01,-25.00%,133,"2,055",71.88%,NFLX,C
52,NFLX190920C00370000,2019-09-17 3:54PM EDT,370,0.02,0.01,0.04,0,-,48,"3,049",75.00%,NFLX,C
53,NFLX190920C00375000,2019-09-17 2:32PM EDT,375,0.01,0,0.08,-0.04,-80.00%,8,"1,584",83.20%,NFLX,C
54,NFLX190920C00380000,2019-09-17 1:18PM EDT,380,0.01,0,0.04,-0.02,-66.67%,8,"1,575",81.25%,NFLX,C
55,NFLX190920C00385000,2019-09-17 2:40PM EDT,385,0.03,0,0.03,0.02,200.00%,3,"1,773",82.81%,NFLX,C
56,NFLX190920C00390000,2019-09-17 2:40PM EDT,390,0.01,0,0.01,-0.02,-66.67%,9,"3,806",78.13%,NFLX,C
57,NFLX190920C00395000,2019-09-16 10:32AM EDT,395,0.01,0,0.05,0,-,3,"1,212",95.31%,NFLX,C
58,NFLX190920C00400000,2019-09-16 2:14PM EDT,400,0.02,0,0.01,0.01,100.00%,10,"4,297",85.94%,NFLX,C
59,NFLX190920C00405000,2019-09-13 10:17AM EDT,405,0.03,0,0.1,0,-,2,611,109.77%,NFLX,C
60,NFLX190920C00410000,2019-09-13 1:00PM EDT,410,0.06,0,0.05,0,-,3,"1,019",106.25%,NFLX,C
61,NFLX190920C00415000,2019-09-17 10:17AM EDT,415,0.02,0,0.02,0.01,100.00%,11,249,101.56%,NFLX,C
62,NFLX190920C00420000,2019-09-13 9:58AM EDT,420,0.01,0,0.07,0,-,2,501,117.19%,NFLX,C
63,NFLX190920C00425000,2019-09-16 12:41PM EDT,425,0.06,0,0.11,0,-,20,546,126.17%,NFLX,C
64,NFLX190920C00430000,2019-09-09 2:13PM EDT,430,0.01,0,0.02,0,-,2,744,110.94%,NFLX,C
65,NFLX190920C00435000,2019-09-13 1:00PM EDT,435,0.06,0.01,0.12,0,-,2,348,135.94%,NFLX,C
66,NFLX190920C00440000,2019-08-27 1:42PM EDT,440,0.03,0,0.12,0,-,21,455,138.28%,NFLX,C
67,NFLX190920C00445000,2019-09-13 10:38AM EDT,445,0.11,0,0.12,0,-,1,605,141.80%,NFLX,C
68,NFLX190920C00450000,2019-09-17 10:25AM EDT,450,0.01,0,0.01,0,-,15,"1,841",118.75%,NFLX,C
69,NFLX190920C00455000,2019-09-17 10:25AM EDT,455,0.01,0,0.02,-0.03,-75.00%,4,86,126.56%,NFLX,C
70,NFLX190920C00460000,2019-09-17 9:30AM EDT,460,0.02,0,0.02,0.01,100.00%,10,"1,957",129.69%,NFLX,C
