,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ticker,C/P
0,NFLX190920P00165000,2019-09-10 2:13PM EDT,165.00,0.01,0.00,0.01,0.00,-,20,"1,949",171.88%,NFLX,P
1,NFLX190920P00170000,2019-09-09 3:25PM EDT,170.00,0.01,0.01,0.01,0.00,-,37,240,171.88%,NFLX,P
2,NFLX190920P00175000,2019-09-10 1:21PM EDT,175.00,0.04,0.00,0.01,0.00,-,1,364,156.25%,NFLX,P
3,NFLX190920P00180000,2019-09-10 3:00PM EDT,180.00,0.02,0.00,0.01,0.00,-,65,354,146.88%,NFLX,P
4,NFLX190920P00185000,2019-09-11 3:34PM EDT,185.00,0.04,0.01,0.01,0.00,-,31,185,146.88%,NFLX,P
5,NFLX190920P00190000,2019-09-11 1:14PM EDT,190.00,0.02,0.02,0.01,0.00,-,2,243,145.31%,NFLX,P
6,NFLX190920P00195000,2019-08-29 3:59PM EDT,195.00,0.05,0.00,0.01,0.00,-,34,126,125.00%,NFLX,P
7,NFLX190920P00200000,2019-09-17 11:17AM EDT,200.00,0.01,0.00,0.01,0.00,-,38,"1,059",118.75%,NFLX,P
8,NFLX190920P00205000,2019-09-11 3:16PM EDT,205.00,0.08,0.00,0.01,0.00,-,76,135,112.50%,NFLX,P
9,NFLX190920P00210000,2019-09-16 10:25AM EDT,210.00,0.01,0.00,0.01,-0.06,-85.71%,10,318,106.25%,NFLX,P
10,NFLX190920P00215000,2019-09-17 3:20PM EDT,215.00,0.01,0.00,0.01,-0.02,-66.67%,42,443,96.88%,NFLX,P
11,NFLX190920P00220000,2019-09-17 3:57PM EDT,220.00,0.01,0.00,0.01,-0.01,-50.00%,22,"1,080",90.63%,NFLX,P
12,NFLX190920P00225000,2019-09-17 9:32AM EDT,225.00,0.03,0.01,0.03,0.00,-,1,313,96.88%,NFLX,P
13,NFLX190920P00230000,2019-09-17 1:53PM EDT,230.00,0.03,0.01,0.07,0.00,-,156,"1,411",96.09%,NFLX,P
14,NFLX190920P00235000,2019-09-17 12:38PM EDT,235.00,0.03,0.01,0.04,-0.01,-25.00%,2,"1,233",84.77%,NFLX,P
